pg_id,name,city,locality,rent_monthly,sharing_type,ac,wifi,food_included,food_type,description
PG000011,Harmony PG for Girls,Mumbai,Kurla,18900,Double,Yes,Yes,Yes,Both,"Harmony PG for Girls is a double-sharing PG located in Kurla, Mumbai, offering air-conditioned rooms, high-speed WiFi, and both meals included. Voluptas quis magni autem numquam sapiente magni dicta fugiat cum veritatis. Ideal for students looking for a premium stay near Kurla."
PG000012,Golden Nest Homestay PG,Jaipur,Vaishali Nagar,9100,Triple,No,Yes,Yes,Veg,"Golden Nest Homestay PG is a triple-sharing PG located in Vaishali Nagar, Jaipur, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Ullam nobis laborum beatae facilis voluptates rem dolores dolores necessitatibus aspernatur quasi repellendus voluptate minus. Ideal for boys looking for a premium stay near Vaishali Nagar."
PG000013,Shanti Residency,Noida,Sector 62,6000,Dorm,No,Yes,No,None,"Shanti Residency is a dorm-sharing PG located in Sector 62, Noida, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Consectetur labore mollitia eaque sit incidunt distinctio molestiae quas. Ideal for girls looking for a budget-friendly stay near Sector 62."
PG000014,Golden Nest Girls Hostel,Bangalore,Koramangala,13700,Triple,Yes,Yes,Yes,Non-Veg,"Golden Nest Girls Hostel is a triple-sharing PG located in Koramangala, Bangalore, offering air-conditioned rooms, high-speed WiFi, and non-veg meals included. Quae id perferendis fuga tempore iste dolorum aperiam accusantium mollitia. Ideal for students looking for a premium stay near Koramangala."
PG000015,Nova Girls Hostel,Bangalore,Koramangala,12100,Double,No,Yes,No,None,"Nova Girls Hostel is a double-sharing PG located in Koramangala, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Dolore architecto occaecati dolorem temporibus similique architecto dolores pariatur distinctio consequatur vel necessitatibus labore quos rem. Ideal for co-living looking for a premium stay near Koramangala."
PG000016,Maple PG for Students,Bangalore,HSR Layout,13100,Triple,No,Yes,Yes,Non-Veg,"Maple PG for Students is a triple-sharing PG located in HSR Layout, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and non-veg meals included. Atque omnis explicabo illum sint amet officiis officia aperiam quas. Ideal for working professionals looking for a premium stay near HSR Layout."
PG000017,Blue Bell Boys Hostel,Pune,Kothrud,19200,Single,Yes,Yes,No,None,"Blue Bell Boys Hostel is a single-sharing PG located in Kothrud, Pune, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Dolorum deleniti ipsum in eius dolorum unde ipsam. Ideal for girls looking for a premium stay near Kothrud."
PG000018,Maple Nest,Delhi,Karol Bagh,22400,Single,Yes,Yes,Yes,Veg,"Maple Nest is a single-sharing PG located in Karol Bagh, Delhi, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Atque officiis molestiae accusamus at quidem dolores illo laboriosam sint temporibus cum a hic unde. Ideal for boys looking for a premium stay near Karol Bagh."
PG000019,Harmony PG for Working Professionals,Delhi,Karol Bagh,14200,Triple,Yes,Yes,Yes,None,"Harmony PG for Working Professionals is a triple-sharing PG located in Karol Bagh, Delhi, offering air-conditioned rooms, high-speed WiFi, and none meals included. Eligendi possimus quas quos optio laborum deleniti dolor animi quasi aperiam et amet labore. Ideal for girls looking for a premium stay near Karol Bagh."
PG000020,Comfort Homestay PG,Bangalore,Koramangala,17200,Double,Yes,Yes,Yes,Veg,"Comfort Homestay PG is a double-sharing PG located in Koramangala, Bangalore, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Culpa vero aspernatur delectus nisi perferendis doloremque blanditiis tempora doloribus nisi nulla in nesciunt minima. Ideal for working professionals looking for a premium stay near Koramangala."
PG000021,Prime Nest,Gurgaon,Cyber Hub Area,8700,Dorm,No,Yes,Yes,Non-Veg,"Prime Nest is a dorm-sharing PG located in Cyber Hub Area, Gurgaon, offering naturally ventilated rooms, high-speed WiFi, and non-veg meals included. Dignissimos quaerat dolores id perferendis error et quibusdam asperiores itaque voluptatum. Ideal for co-living looking for a budget-friendly stay near Cyber Hub Area."
PG000022,Blue Bell Boys Hostel,Mumbai,Powai,17200,Double,Yes,Yes,No,None,"Blue Bell Boys Hostel is a double-sharing PG located in Powai, Mumbai, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Asperiores distinctio eaque ut sunt sunt fuga culpa. Ideal for boys looking for a premium stay near Powai."
PG000023,Elite Nest,Bangalore,Indiranagar,18000,Double,Yes,Yes,Yes,Non-Veg,"Elite Nest is a double-sharing PG located in Indiranagar, Bangalore, offering air-conditioned rooms, high-speed WiFi, and non-veg meals included. Provident nostrum voluptates omnis ab repellendus error optio vel consequatur blanditiis autem mollitia earum non. Ideal for working professionals looking for a premium stay near Indiranagar."
PG000024,Sai PG for Students,Pune,Hadapsar,13700,Triple,Yes,Yes,Yes,Non-Veg,"Sai PG for Students is a triple-sharing PG located in Hadapsar, Pune, offering air-conditioned rooms, high-speed WiFi, and non-veg meals included. Dignissimos odio eaque laborum temporibus sapiente at incidunt eius a quo odio. Ideal for boys looking for a premium stay near Hadapsar."
PG000025,Cosy Corner PG for Students,Delhi,Saket,13300,Triple,No,Yes,Yes,Veg,"Cosy Corner PG for Students is a triple-sharing PG located in Saket, Delhi, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Cum ipsam provident natus beatae velit porro corrupti alias fuga mollitia. Ideal for co-living looking for a premium stay near Saket."
PG000026,Sunrise Residency,Chennai,Anna Nagar,11200,Double,No,No,Yes,Non-Veg,"Sunrise Residency is a double-sharing PG located in Anna Nagar, Chennai, offering naturally ventilated rooms, no in-room WiFi, and non-veg meals included. Consectetur est tempore recusandae similique tempore distinctio dolorum aut quod sunt illo nulla. Ideal for boys looking for a premium stay near Anna Nagar."
PG000027,Star View Homestay PG,Bangalore,Marathahalli,18300,Double,Yes,Yes,Yes,Both,"Star View Homestay PG is a double-sharing PG located in Marathahalli, Bangalore, offering air-conditioned rooms, high-speed WiFi, and both meals included. Unde dolores cum reiciendis debitis impedit debitis unde quos. Ideal for boys looking for a premium stay near Marathahalli."
PG000028,Blue Bell Boys Hostel,Delhi,Rohini,8800,Triple,No,Yes,No,None,"Blue Bell Boys Hostel is a triple-sharing PG located in Rohini, Delhi, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Rem sint repellat eaque ratione autem sit similique dolore repellendus itaque esse recusandae. Ideal for girls looking for a budget-friendly stay near Rohini."
PG000029,Prime Residency,Gurgaon,Sector 56,16400,Double,Yes,Yes,No,None,"Prime Residency is a double-sharing PG located in Sector 56, Gurgaon, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Dolore optio id eius architecto quo expedita magni perspiciatis sapiente. Ideal for co-living looking for a premium stay near Sector 56."
PG000030,Urban Homestay PG,Mumbai,Kurla,25600,Single,Yes,Yes,No,None,"Urban Homestay PG is a single-sharing PG located in Kurla, Mumbai, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Vel beatae voluptas debitis vitae eaque autem ipsa quas et non maiores. Ideal for girls looking for a premium stay near Kurla."
PG000031,Golden Nest Homestay PG,Gurgaon,Sushant Lok,14600,Triple,Yes,Yes,No,None,"Golden Nest Homestay PG is a triple-sharing PG located in Sushant Lok, Gurgaon, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Tempore deleniti aliquid ipsa maxime rem porro velit qui deserunt inventore veniam ullam. Ideal for girls looking for a premium stay near Sushant Lok."
PG000032,Blue Bell Boys Hostel,Bangalore,Electronic City,19400,Single,No,Yes,No,None,"Blue Bell Boys Hostel is a single-sharing PG located in Electronic City, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Et sed quaerat error est illum illo eos consectetur in velit perspiciatis temporibus nulla error molestias. Ideal for girls looking for a premium stay near Electronic City."
PG000033,Skyline Nest,Mumbai,Chembur,13500,Dorm,Yes,Yes,Yes,Veg,"Skyline Nest is a dorm-sharing PG located in Chembur, Mumbai, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Esse distinctio ratione non eum ipsam perferendis. Ideal for working professionals looking for a premium stay near Chembur."
PG000034,Metro Residency,Ahmedabad,Navrangpura,11800,Triple,Yes,Yes,Yes,Non-Veg,"Metro Residency is a triple-sharing PG located in Navrangpura, Ahmedabad, offering air-conditioned rooms, high-speed WiFi, and non-veg meals included. Labore temporibus recusandae cumque assumenda maiores odio excepturi repellendus quibusdam perferendis dolore dicta ad doloribus. Ideal for working professionals looking for a premium stay near Navrangpura."
PG000035,Maple Girls Hostel,Jaipur,Malviya Nagar,6300,Dorm,No,Yes,Yes,Veg,"Maple Girls Hostel is a dorm-sharing PG located in Malviya Nagar, Jaipur, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Nostrum quisquam iste suscipit nemo quaerat fugit id corporis porro tempora similique suscipit quod. Ideal for boys looking for a budget-friendly stay near Malviya Nagar."
PG000036,Maple Girls Hostel,Chennai,OMR,11600,Double,No,Yes,Yes,Veg,"Maple Girls Hostel is a double-sharing PG located in OMR, Chennai, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Debitis vero maxime amet dolorum sed itaque reiciendis pariatur voluptates. Ideal for working professionals looking for a premium stay near OMR."
PG000037,Prime PG for Boys,Pune,Viman Nagar,12400,Dorm,Yes,No,Yes,Both,"Prime PG for Boys is a dorm-sharing PG located in Viman Nagar, Pune, offering air-conditioned rooms, no in-room WiFi, and both meals included. Et quidem ipsam repellendus tempora incidunt tenetur ipsum culpa similique ipsum quibusdam saepe eius quod laborum. Ideal for boys looking for a premium stay near Viman Nagar."
PG000038,Silver Oak Boys Hostel,Mumbai,Malad,28600,Single,Yes,Yes,Yes,Both,"Silver Oak Boys Hostel is a single-sharing PG located in Malad, Mumbai, offering air-conditioned rooms, high-speed WiFi, and both meals included. Earum aspernatur enim earum eum molestiae consequuntur doloremque possimus provident. Ideal for girls looking for a premium stay near Malad."
PG000039,Urban Co-living Space,Hyderabad,Gachibowli,17500,Single,No,No,Yes,Veg,"Urban Co-living Space is a single-sharing PG located in Gachibowli, Hyderabad, offering naturally ventilated rooms, no in-room WiFi, and veg meals included. Impedit ex iure aperiam rerum harum quo veniam. Ideal for co-living looking for a premium stay near Gachibowli."
PG000040,Silver Oak Boys Hostel,Delhi,Rohini,26100,Single,Yes,Yes,Yes,Both,"Silver Oak Boys Hostel is a single-sharing PG located in Rohini, Delhi, offering air-conditioned rooms, high-speed WiFi, and both meals included. Sequi quisquam fugit ab explicabo quidem sequi. Ideal for students looking for a premium stay near Rohini."
PG000041,Green Leaf PG for Working Professionals,Mumbai,Chembur,20200,Double,Yes,Yes,Yes,Veg,"Green Leaf PG for Working Professionals is a double-sharing PG located in Chembur, Mumbai, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Modi quasi reiciendis tempore laborum earum laborum harum pariatur reiciendis quam saepe ullam. Ideal for girls looking for a premium stay near Chembur."
PG000042,Comfort PG for Students,Delhi,Dwarka,26400,Single,Yes,No,Yes,Non-Veg,"Comfort PG for Students is a single-sharing PG located in Dwarka, Delhi, offering air-conditioned rooms, no in-room WiFi, and non-veg meals included. Modi tenetur nihil optio assumenda inventore sint delectus ea eveniet iste excepturi sunt eius veritatis in. Ideal for co-living looking for a premium stay near Dwarka."
PG000043,Skyline Boys Hostel,Mumbai,Andheri,16000,Double,Yes,Yes,No,None,"Skyline Boys Hostel is a double-sharing PG located in Andheri, Mumbai, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Iusto quibusdam amet veritatis dolore architecto vero aliquam. Ideal for girls looking for a premium stay near Andheri."
PG000044,Sai Girls Hostel,Kolkata,Salt Lake,9500,Double,No,Yes,Yes,None,"Sai Girls Hostel is a double-sharing PG located in Salt Lake, Kolkata, offering naturally ventilated rooms, high-speed WiFi, and none meals included. Veniam dicta accusantium corrupti commodi pariatur natus. Ideal for boys looking for a premium stay near Salt Lake."
PG000045,Green Leaf Homestay PG,Bangalore,Marathahalli,16800,Double,Yes,Yes,No,None,"Green Leaf Homestay PG is a double-sharing PG located in Marathahalli, Bangalore, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Iure ducimus fuga non vitae quaerat quod cum est neque. Ideal for co-living looking for a premium stay near Marathahalli."
PG000046,Blue Bell Boys Hostel,Hyderabad,Madhapur,9900,Triple,No,Yes,Yes,Non-Veg,"Blue Bell Boys Hostel is a triple-sharing PG located in Madhapur, Hyderabad, offering naturally ventilated rooms, high-speed WiFi, and non-veg meals included. Nemo tenetur fugiat velit dicta nihil rerum doloribus possimus error placeat. Ideal for students looking for a premium stay near Madhapur."
PG000047,Skyline Co-living Space,Pune,Viman Nagar,21500,Single,Yes,No,Yes,None,"Skyline Co-living Space is a single-sharing PG located in Viman Nagar, Pune, offering air-conditioned rooms, no in-room WiFi, and none meals included. Recusandae natus aliquam minus optio architecto officia accusamus in. Ideal for boys looking for a premium stay near Viman Nagar."
PG000048,Sai Co-living Space,Delhi,Dwarka,12800,Triple,No,Yes,Yes,None,"Sai Co-living Space is a triple-sharing PG located in Dwarka, Delhi, offering naturally ventilated rooms, high-speed WiFi, and none meals included. Autem vero odio repudiandae provident ipsa quasi vitae earum repellat modi laboriosam ipsa quasi. Ideal for boys looking for a premium stay near Dwarka."
PG000049,Shanti Boys Hostel,Delhi,Karol Bagh,18600,Double,Yes,No,Yes,Veg,"Shanti Boys Hostel is a double-sharing PG located in Karol Bagh, Delhi, offering air-conditioned rooms, no in-room WiFi, and veg meals included. Eum doloribus vel eius iste quibusdam necessitatibus pariatur excepturi laudantium eveniet. Ideal for boys looking for a premium stay near Karol Bagh."
PG000050,Shanti PG for Working Professionals,Bangalore,Whitefield,13300,Dorm,Yes,Yes,Yes,Both,"Shanti PG for Working Professionals is a dorm-sharing PG located in Whitefield, Bangalore, offering air-conditioned rooms, high-speed WiFi, and both meals included. Distinctio reiciendis excepturi sunt praesentium eius ab veniam assumenda quam laborum quidem porro officia. Ideal for girls looking for a premium stay near Whitefield."
PG000051,Shanti Nest,Jaipur,Malviya Nagar,9300,Double,No,Yes,Yes,Veg,"Shanti Nest is a double-sharing PG located in Malviya Nagar, Jaipur, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Ipsum accusantium eos illo doloribus optio fuga mollitia exercitationem voluptatum mollitia explicabo iste esse. Ideal for girls looking for a premium stay near Malviya Nagar."
PG000052,Metro PG for Boys,Chennai,OMR,7400,Dorm,No,Yes,Yes,Veg,"Metro PG for Boys is a dorm-sharing PG located in OMR, Chennai, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Blanditiis deserunt blanditiis modi quis delectus dolor laborum quam voluptate. Ideal for girls looking for a budget-friendly stay near OMR."
PG000053,Royal Residency,Ahmedabad,Navrangpura,10000,Double,No,Yes,Yes,Veg,"Royal Residency is a double-sharing PG located in Navrangpura, Ahmedabad, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Nisi voluptatem rerum eos facere esse provident consectetur aliquid amet eos velit odit quidem aut. Ideal for working professionals looking for a premium stay near Navrangpura."
PG000054,Prime PG for Co-living,Kolkata,Behala,7300,Dorm,No,Yes,Yes,Veg,"Prime PG for Co-living is a dorm-sharing PG located in Behala, Kolkata, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Nemo iusto ipsam delectus amet velit labore. Ideal for co-living looking for a budget-friendly stay near Behala."
PG000055,Zenith Boys Hostel,Gurgaon,Sector 14,22800,Single,No,Yes,Yes,Both,"Zenith Boys Hostel is a single-sharing PG located in Sector 14, Gurgaon, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Id asperiores occaecati amet corrupti natus esse voluptatibus. Ideal for students looking for a premium stay near Sector 14."
PG000056,Zenith Co-living Space,Ahmedabad,Bopal,6100,Triple,No,Yes,No,None,"Zenith Co-living Space is a triple-sharing PG located in Bopal, Ahmedabad, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Nam impedit nisi nulla quod fugit tenetur error nihil. Ideal for working professionals looking for a budget-friendly stay near Bopal."
PG000057,Zenith Girls Hostel,Mumbai,Chembur,12800,Triple,No,Yes,Yes,Veg,"Zenith Girls Hostel is a triple-sharing PG located in Chembur, Mumbai, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Esse numquam non qui veniam dignissimos distinctio optio culpa cupiditate asperiores a ipsum. Ideal for boys looking for a premium stay near Chembur."
PG000058,Blue Bell Co-living Space,Bangalore,Indiranagar,22800,Single,No,Yes,Yes,Both,"Blue Bell Co-living Space is a single-sharing PG located in Indiranagar, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Iusto adipisci enim eligendi similique architecto doloremque eaque recusandae nihil rem dicta beatae dolore corrupti eaque. Ideal for co-living looking for a premium stay near Indiranagar."
PG000059,Harmony Nest,Mumbai,Kurla,17100,Double,Yes,Yes,No,None,"Harmony Nest is a double-sharing PG located in Kurla, Mumbai, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Architecto cumque esse quibusdam necessitatibus enim commodi porro praesentium. Ideal for students looking for a premium stay near Kurla."
PG000060,Star View Boys Hostel,Pune,Viman Nagar,13400,Triple,Yes,Yes,Yes,Non-Veg,"Star View Boys Hostel is a triple-sharing PG located in Viman Nagar, Pune, offering air-conditioned rooms, high-speed WiFi, and non-veg meals included. Magnam laudantium aspernatur aliquam inventore eum dolorum at vitae saepe nemo. Ideal for boys looking for a premium stay near Viman Nagar."
PG000061,Urban Residency,Pune,Wakad,13600,Double,No,Yes,Yes,None,"Urban Residency is a double-sharing PG located in Wakad, Pune, offering naturally ventilated rooms, high-speed WiFi, and none meals included. Voluptatum perferendis earum aliquam quidem iusto officiis. Ideal for girls looking for a premium stay near Wakad."
PG000062,Zenith Co-living Space,Bangalore,HSR Layout,22400,Single,No,Yes,Yes,Both,"Zenith Co-living Space is a single-sharing PG located in HSR Layout, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Delectus nesciunt odio laudantium at expedita ex pariatur similique ex possimus. Ideal for working professionals looking for a premium stay near HSR Layout."
PG000063,Cosy Corner Residency,Noida,Sector 62,10600,Triple,No,Yes,Yes,Both,"Cosy Corner Residency is a triple-sharing PG located in Sector 62, Noida, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Optio id quis alias at dolorum blanditiis quo sint repudiandae a. Ideal for students looking for a premium stay near Sector 62."
PG000064,Harmony PG for Co-living,Pune,Hinjewadi,22500,Single,Yes,Yes,Yes,Veg,"Harmony PG for Co-living is a single-sharing PG located in Hinjewadi, Pune, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Iure amet maxime numquam libero ipsam amet eaque consectetur enim sunt laborum adipisci occaecati reiciendis. Ideal for boys looking for a premium stay near Hinjewadi."
PG000065,Blue Bell Girls Hostel,Bangalore,Indiranagar,15800,Triple,Yes,Yes,Yes,Veg,"Blue Bell Girls Hostel is a triple-sharing PG located in Indiranagar, Bangalore, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Est accusamus illum dolore sapiente beatae veniam officia culpa. Ideal for co-living looking for a premium stay near Indiranagar."
PG000066,Silver Oak PG for Working Professionals,Delhi,Rohini,19600,Single,No,Yes,No,None,"Silver Oak PG for Working Professionals is a single-sharing PG located in Rohini, Delhi, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Magni earum rerum voluptatem doloribus mollitia fugit ullam magni sunt sint. Ideal for co-living looking for a premium stay near Rohini."
PG000067,Zenith Homestay PG,Bangalore,Electronic City,25100,Single,No,Yes,Yes,Both,"Zenith Homestay PG is a single-sharing PG located in Electronic City, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Quo sequi excepturi ratione eaque a quas saepe neque optio sint. Ideal for girls looking for a premium stay near Electronic City."
PG000068,Blue Bell Girls Hostel,Chennai,T Nagar,10900,Double,No,Yes,Yes,Veg,"Blue Bell Girls Hostel is a double-sharing PG located in T Nagar, Chennai, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Molestiae exercitationem mollitia molestiae iste eum deleniti possimus nemo doloremque quod aliquam quia provident. Ideal for co-living looking for a premium stay near T Nagar."
PG000069,Royal Homestay PG,Mumbai,Andheri,13600,Triple,Yes,Yes,No,None,"Royal Homestay PG is a triple-sharing PG located in Andheri, Mumbai, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Harum optio reprehenderit voluptatem libero alias magnam nihil sit soluta ipsam minima. Ideal for girls looking for a premium stay near Andheri."
PG000070,Sai PG for Co-living,Indore,Vijay Nagar,5900,Dorm,No,Yes,Yes,Non-Veg,"Sai PG for Co-living is a dorm-sharing PG located in Vijay Nagar, Indore, offering naturally ventilated rooms, high-speed WiFi, and non-veg meals included. Accusamus corporis sit voluptas asperiores quos eaque numquam id aspernatur eveniet perferendis modi veritatis. Ideal for girls looking for a budget-friendly stay near Vijay Nagar."
PG000071,Sunrise Co-living Space,Chennai,Adyar,19100,Single,Yes,Yes,Yes,Non-Veg,"Sunrise Co-living Space is a single-sharing PG located in Adyar, Chennai, offering air-conditioned rooms, high-speed WiFi, and non-veg meals included. Quaerat quis sit alias architecto occaecati ullam voluptatum quia inventore atque odio sit ipsam possimus temporibus. Ideal for girls looking for a premium stay near Adyar."
PG000072,Metro Co-living Space,Bangalore,Marathahalli,25500,Single,Yes,Yes,Yes,Veg,"Metro Co-living Space is a single-sharing PG located in Marathahalli, Bangalore, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Eveniet animi facere inventore doloribus illum placeat. Ideal for boys looking for a premium stay near Marathahalli."
PG000073,Blue Bell Residency,Mumbai,Malad,19500,Double,Yes,Yes,Yes,Veg,"Blue Bell Residency is a double-sharing PG located in Malad, Mumbai, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Cumque aspernatur sit nulla dolores totam corporis itaque ducimus. Ideal for students looking for a premium stay near Malad."
PG000074,Green Leaf Boys Hostel,Noida,Sector 15,12000,Triple,No,Yes,Yes,Veg,"Green Leaf Boys Hostel is a triple-sharing PG located in Sector 15, Noida, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Pariatur tempore iure enim molestias asperiores veniam voluptates error vitae porro. Ideal for girls looking for a premium stay near Sector 15."
PG000075,Sai Co-living Space,Hyderabad,Kondapur,13500,Double,No,Yes,Yes,Veg,"Sai Co-living Space is a double-sharing PG located in Kondapur, Hyderabad, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Sapiente dicta harum laboriosam dolores nemo nemo voluptatibus eos voluptate omnis earum natus placeat. Ideal for girls looking for a premium stay near Kondapur."
PG000076,Harmony Boys Hostel,Hyderabad,Gachibowli,10500,Double,No,Yes,No,None,"Harmony Boys Hostel is a double-sharing PG located in Gachibowli, Hyderabad, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Tenetur quia rerum temporibus quod dolorem reiciendis. Ideal for boys looking for a premium stay near Gachibowli."
PG000077,Shanti Nest,Chennai,T Nagar,10900,Double,No,Yes,Yes,Veg,"Shanti Nest is a double-sharing PG located in T Nagar, Chennai, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Odio numquam perspiciatis quam omnis saepe occaecati temporibus officia est. Ideal for students looking for a premium stay near T Nagar."
PG000078,Silver Oak Girls Hostel,Mumbai,Malad,19500,Double,Yes,Yes,Yes,Veg,"Silver Oak Girls Hostel is a double-sharing PG located in Malad, Mumbai, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Alias facilis consectetur tenetur eveniet impedit dicta ratione soluta facilis magnam earum cum. Ideal for girls looking for a premium stay near Malad."
PG000079,Royal Co-living Space,Pune,Kothrud,11000,Double,No,Yes,No,None,"Royal Co-living Space is a double-sharing PG located in Kothrud, Pune, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Voluptas eos sit rem iusto asperiores quidem dolorem perspiciatis perferendis id sapiente nam at. Ideal for boys looking for a premium stay near Kothrud."
